Target,Model,R2,RMSE
weightloss,LinearRegression,0.9996,0.0298
weightloss,RandomForest,0.988,0.1589
weightloss,SVR,0.9966,0.0844
weightloss,KNN,0.5869,0.9323
weightloss,GradientBoosting,0.9331,0.3752
ciel,LinearRegression,0.8637,0.505
ciel,RandomForest,0.8664,0.4999
ciel,SVR,0.7755,0.6481
ciel,KNN,0.705,0.7429
ciel,GradientBoosting,0.5582,0.9091
ciea,LinearRegression,0.9879,0.3292
ciea,RandomForest,0.9646,0.5643
ciea,SVR,0.9885,0.321
ciea,KNN,0.6332,1.8156
ciea,GradientBoosting,0.9106,0.8963
cieb,LinearRegression,0.8734,0.3521
cieb,RandomForest,0.9594,0.1995
cieb,SVR,0.9601,0.1975
cieb,KNN,0.4913,0.7057
cieb,GradientBoosting,0.934,0.2542
