Target,Model,R2,RMSE
weightloss,LinearRegression,0.9281,0.384
weightloss,RandomForest,0.9343,0.3672
weightloss,SVR,0.9112,0.4269
weightloss,KNN,0.7648,0.6947
weightloss,GradientBoosting,0.9627,0.2766
ciel,LinearRegression,0.7157,1.0865
ciel,RandomForest,0.6235,1.2504
ciel,SVR,0.6795,1.1536
ciel,KNN,0.7168,1.0845
ciel,GradientBoosting,0.6574,1.1929
ciea,LinearRegression,0.9325,0.8642
ciea,RandomForest,0.7523,1.6562
ciea,SVR,0.8504,1.2871
ciea,KNN,0.8668,1.2145
ciea,GradientBoosting,0.8387,1.3363
cieb,LinearRegression,0.5367,1.2913
cieb,RandomForest,0.7153,1.0123
cieb,SVR,0.1164,1.7832
cieb,KNN,0.7355,0.9757
cieb,GradientBoosting,0.5261,1.306
