Target,Model,R2,RMSE
weightloss,LinearRegression,0.9997,0.0244
weightloss,RandomForest,0.8685,0.526
weightloss,SVR,0.9924,0.1269
weightloss,KNN,0.612,0.9035
weightloss,GradientBoosting,0.5847,0.9349
ciel,LinearRegression,0.897,0.4389
ciel,RandomForest,0.9657,0.2534
ciel,SVR,0.7013,0.7476
ciel,KNN,0.765,0.6631
ciel,GradientBoosting,0.8313,0.5618
ciea,LinearRegression,0.9846,0.3714
ciea,RandomForest,0.8097,1.3077
ciea,SVR,0.9856,0.3599
ciea,KNN,0.6068,1.8796
ciea,GradientBoosting,0.3437,2.4284
cieb,LinearRegression,0.4136,0.7577
cieb,RandomForest,0.7126,0.5304
cieb,SVR,0.9176,0.2841
cieb,KNN,0.4633,0.7249
cieb,GradientBoosting,0.9158,0.2871
