Target,Model,R2,RMSE
weightloss,LinearRegression,0.9996,0.0298
weightloss,RandomForest,0.9895,0.1486
weightloss,SVR,0.8369,0.5858
weightloss,KNN,0.5869,0.9323
weightloss,GradientBoosting,0.9441,0.3431
ciel,LinearRegression,0.8637,0.505
ciel,RandomForest,0.878,0.4777
ciel,SVR,0.8392,0.5485
ciel,KNN,0.705,0.7429
ciel,GradientBoosting,0.6033,0.8615
ciea,LinearRegression,0.9879,0.3292
ciea,RandomForest,0.9646,0.5638
ciea,SVR,0.7661,1.4498
ciea,KNN,0.6332,1.8156
ciea,GradientBoosting,0.9123,0.8875
cieb,LinearRegression,0.8734,0.3521
cieb,RandomForest,0.9548,0.2104
cieb,SVR,0.5841,0.6381
cieb,KNN,0.4913,0.7057
cieb,GradientBoosting,0.9359,0.2504
