Target,Model,R2,RMSE
weightloss,LinearRegression,0.9997,0.0255
weightloss,RandomForest,0.894,0.4723
weightloss,SVR,0.9881,0.158
weightloss,KNN,0.612,0.9035
weightloss,GradientBoosting,0.561,0.9611
ciel,LinearRegression,0.9505,0.3042
ciel,RandomForest,0.914,0.4011
ciel,SVR,0.5957,0.8697
ciel,KNN,0.765,0.6631
ciel,GradientBoosting,0.602,0.8629
ciea,LinearRegression,0.9826,0.3959
ciea,RandomForest,0.8248,1.2549
ciea,SVR,0.9853,0.3631
ciea,KNN,0.6068,1.8796
ciea,GradientBoosting,0.3409,2.4337
cieb,LinearRegression,0.6238,0.6069
cieb,RandomForest,0.7333,0.511
cieb,SVR,0.9686,0.1754
cieb,KNN,0.4633,0.7249
cieb,GradientBoosting,0.9141,0.29
