Target,Model,R2,RMSE
weightloss,LinearRegression,0.9264,0.3887
weightloss,RandomForest,0.9271,0.3867
weightloss,SVR,0.9014,0.4498
weightloss,KNN,0.7325,0.7409
weightloss,GradientBoosting,0.9549,0.3042
ciel,LinearRegression,0.7237,1.0711
ciel,RandomForest,0.6815,1.15
ciel,SVR,0.6709,1.1691
ciel,KNN,0.651,1.2039
ciel,GradientBoosting,0.6944,1.1264
ciea,LinearRegression,0.927,0.8988
ciea,RandomForest,0.6756,1.8953
ciea,SVR,0.8292,1.3754
ciea,KNN,0.7877,1.5331
ciea,GradientBoosting,0.7741,1.5816
cieb,LinearRegression,0.5953,1.2068
cieb,RandomForest,0.6922,1.0525
cieb,SVR,0.1722,1.726
cieb,KNN,0.732,0.9821
cieb,GradientBoosting,0.5959,1.206
