file_name,R_mean,G_mean,B_mean
100.jpg,187.528,187.736,35.202
50.jpg,188.731,192.551,33.867
51.jpg,172.581,181.656,18.198
52.jpg,164.687,174.276,7.703
53.jpg,167.767,179.33,12.088
54.jpg,171.706,163.275,17.16
55.jpg,176.116,169.311,12.61
56.jpg,174.223,133.853,32.018
57.jpg,180.148,183.321,27.344
58.jpg,174.085,183.076,25.158
59.jpg,180.894,184.254,21.571
60.jpg,187.052,189.471,34.384
61.jpg,170.199,179.738,11.197
62.jpg,163.367,171.737,4.169
63.jpg,167.788,178.893,6.494
64.jpg,173.482,167.691,11.626
65.jpg,179.163,170.613,8.9
66.jpg,176.33,134.043,27.746
67.jpg,180.247,183.176,24.905
68.jpg,175.091,183.144,22.023
69.jpg,180.479,182.512,17.035
70.jpg,185.207,186.828,29.865
71.jpg,171.511,180.511,15.216
72.jpg,171.146,176.865,5.165
73.jpg,170.802,181.08,11.141
74.jpg,171.342,162.578,14.415
75.jpg,182.669,175.375,15.983
76.jpg,177.36,135.063,29.77
77.jpg,181.811,183.683,30.458
78.jpg,177.755,184.966,27.285
79.jpg,182.216,185.17,22.779
80.jpg,185.095,184.332,30.746
81.jpg,175.738,184.104,20.079
82.jpg,171.177,176.497,7.557
83.jpg,168.306,178.995,11.099
85.jpg,180.771,171.219,14.973
86.jpg,179.724,137.445,30.586
87.jpg,186.242,187.261,33.002
88.jpg,179.799,187.255,28.864
89.jpg,185.304,187.356,25.555
90.jpg,190.439,191.767,36.772
91.jpg,177.622,185.016,16.337
92.jpg,174.3,177.618,6.358
93.jpg,169.319,178.774,10.301
94.jpg,173.614,163.232,13.906
95.jpg,181.167,171.07,13.614
96.jpg,177.681,133.26,27.685
97.jpg,184.453,184.479,30.428
98.jpg,180.149,186.309,27.389
99.jpg,184.708,185.121,23.372
