file_name,R_mean,G_mean,B_mean
1.jpg,173.294,186.117,27.194
141.jpg,179.198,183.405,19.805
142.jpg,181.732,177.254,8.543
143.jpg,175.772,180.599,14.383
144.jpg,179.591,164.979,15.589
145.jpg,190.123,173.037,17.182
181.jpg,187.938,187.867,26.071
182.jpg,189.106,178.913,9.386
183.jpg,186.968,186.551,21.92
184.jpg,189.37,169.563,18.673
185.jpg,200.274,178.002,23.039
2.jpg,150.506,168.35,8.324
241.jpg,185.246,181.545,23.689
242.jpg,195.381,181.695,10.456
243.jpg,192.823,186.858,29.11
244.jpg,193.126,168.933,17.229
245.jpg,205.339,178.218,24.302
281.jpg,202.972,194.43,43.184
282.jpg,200.642,184.16,13.427
283.jpg,205.551,194.189,39.047
284.jpg,201.551,173.192,23.65
285.jpg,214.439,183.445,30.173
3.jpg,162.847,178.315,13.428
301.jpg,200.499,188.676,35.939
302.jpg,200.741,183.413,11.958
303.jpg,204.211,189.337,34.042
304.jpg,204.238,172.779,21.762
305.jpg,212.329,177.773,22.962
331.jpg,200.193,185.287,33.95
332.jpg,200.105,181.667,11.406
333.jpg,208.356,189.949,37.374
334.jpg,204.36,170.697,18.871
335.jpg,213.168,176.257,19.885
351.jpg,205.139,187.893,35.407
352.jpg,200.079,181.212,11.316
353.jpg,210.489,190.026,36.462
354.jpg,204.788,169.417,17.471
355.jpg,215.938,177.316,19.528
4.jpg,171.186,165.005,21.733
5.jpg,169.803,167.514,14.201
51.jpg,171.646,180.713,18.344
52.jpg,163.912,173.482,7.917
53.jpg,166.77,178.294,12.334
54.jpg,170.883,162.568,17.315
55.jpg,175.02,168.344,12.839
91.jpg,176.848,184.259,16.644
92.jpg,173.491,176.831,6.748
93.jpg,168.437,177.865,10.628
94.jpg,173.149,162.854,14.088
95.jpg,180.32,170.356,13.975
