file_name,R_mean,G_mean,B_mean
100.jpg,176.278,176.68,39.56
50.jpg,178.33,179.545,38.172
51.jpg,162.204,168.745,20.595
52.jpg,154.569,161.235,8.651
53.jpg,157.734,166.402,13.597
54.jpg,160.781,152.78,19.279
55.jpg,164.646,157.991,14.141
56.jpg,162.365,127.592,35.666
57.jpg,169.572,171.018,30.877
58.jpg,163.943,170.166,28.49
59.jpg,169.781,171.432,24.461
60.jpg,176.097,176.959,38.922
61.jpg,160.53,167.416,12.473
62.jpg,153.521,159.829,4.566
63.jpg,158.235,166.8,7.135
64.jpg,163.01,157.566,12.801
65.jpg,167.636,159.957,9.786
66.jpg,164.791,128.371,30.556
67.jpg,170.164,171.747,27.81
68.jpg,165.496,171.467,24.568
69.jpg,169.932,170.845,18.978
70.jpg,174.795,175.382,33.453
71.jpg,161.642,168.348,17.028
72.jpg,160.569,164.445,5.678
73.jpg,160.927,168.843,12.409
74.jpg,160.898,152.54,15.984
75.jpg,171.505,164.476,17.865
76.jpg,165.854,129.104,32.899
77.jpg,171.815,172.132,34.103
78.jpg,167.929,172.933,30.6
79.jpg,171.761,173.277,25.515
80.jpg,174.334,172.783,34.59
81.jpg,166.655,172.273,22.304
82.jpg,161.758,164.161,8.352
83.jpg,159.475,167.074,12.241
85.jpg,170.291,160.97,16.536
86.jpg,168.583,131.406,33.662
87.jpg,176.495,175.831,36.771
88.jpg,170.512,175.256,32.215
89.jpg,175.079,175.528,28.566
90.jpg,180.471,180.017,41.07
91.jpg,167.303,173.202,18.212
92.jpg,163.129,165.825,6.997
93.jpg,159.36,167.436,11.386
94.jpg,162.623,153.869,15.367
95.jpg,169.542,161.134,15.048
96.jpg,165.508,127.814,30.574
97.jpg,173.577,173.55,34.079
98.jpg,169.559,174.718,30.754
99.jpg,173.074,173.754,26.317
