file_name,R_mean,G_mean,B_mean
1.jpg,165.358,175.406,29.842
141.jpg,167.995,171.695,22.308
142.jpg,169.065,165.458,9.507
143.jpg,165.095,169.428,15.985
144.jpg,167.896,155.814,17.257
145.jpg,177.383,163.377,19.082
181.jpg,176.676,176.813,29.201
182.jpg,175.811,167.821,10.403
183.jpg,175.67,175.972,24.428
184.jpg,176.812,160.617,20.73
185.jpg,187.051,168.531,25.712
2.jpg,143.162,157.544,9.079
241.jpg,174.491,171.268,26.355
242.jpg,181.978,170.777,11.6
243.jpg,181.545,176.696,32.374
244.jpg,180.522,160.227,19.048
245.jpg,191.834,169.219,27.077
281.jpg,192.085,186.291,47.209
282.jpg,187.22,174.75,14.708
283.jpg,193.504,185.651,43.015
284.jpg,188.898,166.141,25.878
285.jpg,200.64,176.331,33.161
3.jpg,155.09,167.505,14.644
301.jpg,188.178,177.844,40.37
302.jpg,186.1,171.871,13.418
303.jpg,191.037,178.841,38.252
304.jpg,189.818,163.832,24.315
305.jpg,197.022,168.356,25.867
331.jpg,187.486,175.307,38.036
332.jpg,185.419,170.555,12.757
333.jpg,194.972,179.826,41.933
334.jpg,189.723,161.846,21.163
335.jpg,197.472,167.08,22.362
351.jpg,191.72,177.593,39.84
352.jpg,185.01,169.931,12.677
353.jpg,196.457,179.872,41.033
354.jpg,189.437,160.416,19.642
355.jpg,199.668,167.992,22.016
4.jpg,162.237,156.179,23.815
5.jpg,160.564,158.151,15.531
51.jpg,161.322,167.866,20.764
52.jpg,153.839,160.499,8.898
53.jpg,156.794,165.438,13.88
54.jpg,160.007,152.116,19.456
55.jpg,163.618,157.086,14.405
91.jpg,166.572,172.492,18.562
92.jpg,162.369,165.089,7.445
93.jpg,158.527,166.582,11.758
94.jpg,162.186,153.512,15.574
95.jpg,168.747,160.459,15.459
